loss,alpha,eta0,tol,learning_rate,oversampling_method,roc_auc
log_loss,74.1032029462133,96.01920076820386,0.014185688981141222,constant,ada,0.5343361014167808
log_loss,73.91853922084235,96.00495829252323,0.01400919132453146,constant,ada,0.5373028657596292
log_loss,74.07709800923516,95.9930570706077,0.014205142618473228,constant,ada,0.5987893986127139
hinge,34.91301965169031,100.0,0.03607525962425858,adaptive,none,0.8616614610343695
log_loss,74.04469364910095,95.9641821956346,0.014226417028681911,constant,ada,0.4944551978079097
log_loss,74.03604377045743,95.95144069434221,0.01423346049225571,constant,ada,0.5208532785431649
log_loss,73.90061950882634,95.93846432320363,0.014103796432721546,constant,ada,0.5
log_loss,73.26757563890769,95.9262983520227,0.014193916205281617,constant,ada,0.5221037442429529
log_loss,73.96078984550003,95.91320293142329,0.01445126898945553,constant,ada,0.6055014900988792
log_loss,73.9819820592144,95.90060157819381,0.01428276177777175,constant,ada,0.577425221299862
log_loss,73.82471914986235,95.89110290474319,0.014261176414451768,constant,ada,0.5219762114163137
log_loss,73.96593735298158,95.87599003520637,0.01429202188565095,constant,ada,0.5241940252753955
log_loss,73.492773604275,95.86505263020112,0.014547929676066263,constant,ada,0.5580630028278837
log_loss,73.63447892948834,95.85785559853257,0.01437367660626074,constant,ada,0.5374314492513124
log_loss,73.93564332687421,95.8435423176406,0.014318942313104351,constant,ada,0.5661741947020077
log_loss,73.20984456646899,95.84562329504412,0.014368042439144045,constant,ada,0.511119101561681
log_loss,73.84043395668498,95.81717481550213,0.014197018381640388,constant,ada,0.48451631099647613
log_loss,73.94089131081395,95.80538149695758,0.014338328789625881,constant,ada,0.43062928485861657
log_loss,74.32596764632467,95.79364799352449,0.01441371566724717,constant,ada,0.5277324397193449
log_loss,73.14660106437525,95.77382359276329,0.014390676434406308,constant,ada,0.6143564898884799
log_loss,73.86404133601835,95.77139866739462,0.014373518642005433,constant,ada,0.5161956450108719
log_loss,73.90375808364993,95.75984913015522,0.014181378676655363,constant,ada,0.4533638542748868
log_loss,73.83614146677405,95.73544035955037,0.014418594676368633,constant,ada,0.4722239600824378
log_loss,73.8116017642845,95.73858452957921,0.01439695998311282,constant,ada,0.5240356782847112
log_loss,73.30410982441471,95.72384193663044,0.015494172254103974,constant,ada,0.592996237984169
log_loss,73.73683850396161,95.71719439872408,0.01406499858093202,constant,ada,0.5287058555889468
log_loss,73.79581614188778,95.70647147480808,0.014361404159381738,constant,ada,0.6070659363852647
log_loss,73.89901724200313,95.69575670882233,0.014253554789894035,constant,ada,0.6387825605495755
log_loss,73.59968297581194,95.68461619570708,0.013077303164780353,constant,ada,0.4483852071644155
log_loss,73.77837614375883,95.67543267599649,0.01452255874590901,constant,ada,0.5549539859524945
log_loss,73.32787603917791,95.66472337135664,0.014380095659295631,constant,ada,0.601618647780259
log_loss,73.75555247889497,95.65488374395042,0.01446178756233746,constant,ada,0.4695837096250197
log_loss,73.74454702483844,95.6447223268573,0.014454017900692244,constant,ada,0.6203015306089775
log_loss,73.78392331624185,95.63478528095753,0.014489236504316935,constant,ada,0.581369188872393
log_loss,73.29709178037359,95.62492828322678,0.014484670758827008,constant,ada,0.5245032014138302
hinge,15.713386410914008,100.0,0.052070743279072816,adaptive,none,0.8615992227665337
log_loss,73.71167359178831,95.60443087226038,0.014519331162803479,constant,ada,0.6237123704839063
log_loss,73.7044379390303,95.59373913814169,0.016056802618902258,constant,ada,0.5637555299211688
log_loss,73.70189498264973,95.58656833942904,0.014219953425303326,constant,ada,0.4796339111075533
modified_huber,62.312241864129774,45.89710461824087,0.0001,constant,none,0.4829511529121919
modified_huber,62.225161406032235,45.860485239275796,0.0001,constant,none,0.6103235642281123
log_loss,73.86304658655762,95.57082397808485,0.014621146282375177,constant,ada,0.6408265079952495
log_loss,73.66161456360031,95.56465323479901,0.014516143381415901,constant,ada,0.6163933587276055
log_loss,73.679857188382,95.55547654700064,0.014542200187564466,constant,ada,0.5697950609354533
log_loss,73.952533335639,95.54827293334466,0.01461622080938132,constant,ada,0.5068719396213895
log_loss,73.63562028739798,95.5380694569991,0.014479960445482045,constant,ada,0.6240897953725523
hinge,10.840365025732513,100.0,0.0753213389661822,adaptive,none,0.8617041306395558
hinge,10.358484597352692,100.0,0.0669914812862461,adaptive,none,0.861542360478983
log_loss,73.61959354404061,95.50919988534052,0.01457603458273159,constant,ada,0.5205094189225895
log_loss,74.94370527785834,95.5010103340247,0.013872706283379131,constant,ada,0.5363396662284262
log_loss,73.60925140752941,95.49188652277427,0.014609093698697713,constant,ada,0.5578619634752543
hinge,10.201530931090566,100.0,0.07299333629800746,adaptive,none,0.8615626638976653
log_loss,73.66546399230621,95.47417992742271,0.014619611957296157,constant,ada,0.5962980754201768
log_loss,73.57896481104835,95.4651993791192,0.014645022138827173,constant,ada,0.5297453124724788
log_loss,73.55947786601538,95.46593168236316,0.014624164077957014,constant,ada,0.43922998452580897
log_loss,73.63921455720171,95.56266377715531,0.014553108257018483,constant,ada,0.661240564059248
log_loss,73.55663547915478,95.44094886981992,0.014634123497074257,constant,ada,0.5666661903506823
log_loss,73.57072004460144,95.43256308988599,0.014654278739787207,constant,ada,0.5
log_loss,73.54164520813416,95.4244776993031,0.014646970323910375,constant,ada,0.46882342949817685
log_loss,73.5357285224516,95.41669365648158,0.014648683575162254,constant,ada,0.5106535976841249
log_loss,73.32196896609864,95.40795409827015,0.01404801474226919,constant,ada,0.5545871989820963
log_loss,73.80453214671128,95.39021099872951,0.014193117468607234,constant,ada,0.6282971480170672
log_loss,73.51420462733157,95.39353387125249,0.01466609498100215,constant,ada,0.5470647512771908
log_loss,73.51122683108936,95.38477709147395,0.014738828804931362,constant,ada,0.5330859153989471
log_loss,73.25708048348876,95.37670269179704,0.014028892587918515,constant,ada,0.5189362272521071
log_loss,73.4927754522016,95.36973991158071,0.014685733114383913,constant,ada,0.5005209971742733
log_loss,73.53066279046179,95.36298968975696,0.014698629936511083,constant,ada,0.43553760111479384
log_loss,73.51011871026425,95.35485750872189,0.014740445805722781,constant,ada,0.5308101985193917
log_loss,73.49389886232981,95.34749883841326,0.01473360536174219,constant,ada,0.5706277849732846
log_loss,74.29932648371471,95.338847583015,0.014666439789595464,constant,ada,0.6610367886363749
log_loss,73.45801306273388,95.33268966668014,0.01472237269944235,constant,ada,0.5904342192507719
