activation,tol,beta_1,beta_2,epsilon,oversampling_method,roc_auc
relu,0.1,0.015125497557427427,0.007834780464730937,1e-10,ada,0.913290157739613
relu,0.0001,0.35473672932580796,0.0,0.037568309894604385,none,0.9255004681182295
relu,0.015367727476517828,0.5868748310602345,0.9999,1e-10,ada,0.9188818062544316
identity,0.0001,0.18737105725171482,0.013832077226734624,0.03531655068886721,none,0.901966816313974
identity,0.1,0.614873533425998,0.9999,0.1,none,0.8844632785141376
relu,0.005803066611739827,0.9999,0.9999,0.00516253261299683,ada,0.899263867371538
relu,0.024881322318551058,0.9999,0.9999,0.015807945393220335,ada,0.8462173519219007
identity,0.0001,0.21127647131662586,0.0,0.07199782590439283,none,0.9018228475255651
relu,0.05092193003477266,0.6091113231328343,0.9221917657488232,0.02099814849898803,ada,0.8910766805411631
tanh,0.04750574496552554,0.7629287048115185,0.09743230010276759,0.08161649235157173,none,0.8992803067253615
relu,0.09324040505942868,0.12783475559595123,0.0,0.04805273744153546,none,0.9056336670031154
relu,0.06636283719632373,0.9999,0.9999,0.07374187603951203,none,0.8622617774389708
relu,0.0776586150713152,0.4155428101880503,0.0,0.021176159698890223,ada,0.8867945874503604
tanh,0.029185576847805067,0.0,0.9999,0.041361780773309265,none,0.8942311270129526
tanh,0.06503828078884105,0.9835822999134618,0.0,0.026257904416329095,none,0.9039840711369075
logistic,0.0001,0.5589671431681726,0.9999,1e-10,ada,0.9171629350952154
logistic,0.0808206724321611,0.5237460541463916,0.9999,0.00356713904035321,none,0.8918245723754437
relu,0.03995634682193667,0.07003550346380945,0.0,0.02406852149061989,none,0.9123954351790831
tanh,0.0001,0.9999,0.9999,0.09990458694325384,ada,0.8548526689153814
logistic,0.05979702045466868,0.9999,0.9999,0.1,none,0.6904285041164391
relu,0.0001,0.4661171326093605,0.9999,1e-10,ada,0.9299669978612014
relu,0.0001,0.41146465845050373,0.6959704528661759,0.020443312847684043,ada,0.9228654718398409
relu,0.0001,0.17466327080542582,0.9999,1e-10,ada,0.9300812681759641
relu,0.084609736879789,0.0,0.0,1e-10,none,0.926008793253974
relu,0.0001,0.8872455869058004,0.7993197275032184,0.013002605025819272,none,0.9273484357936814
tanh,0.0001,0.3976954487071893,0.0,0.1,none,0.9181037407618508
relu,0.0001,0.5280115285024548,0.6154545723243792,1e-10,none,0.927469181148301
relu,0.0001,0.9999,0.0,0.1,none,0.906046560975141
relu,0.0001,0.7499506843073827,0.0,0.037478595683078784,none,0.9261838947449257
relu,0.1,0.03207935994167879,0.49294782062744513,0.019164909806257912,none,0.9157959403333694
