C,tol,solver,oversampling_method,roc_auc
61.38813373267659,0.07506231648759176,saga,none,0.9039113112458258
52.423256744926704,0.07538787067366931,lbfgs,ada,0.7910640337424818
14.57621637433194,0.06082289193828174,sag,none,0.9041687679408238
28.560003742694672,0.02387808242280019,newton-cholesky,none,0.9045820824110861
25.89927902567722,0.08400424195537848,saga,none,0.9042979375506408
89.17194772682063,0.07274928067601948,newton-cholesky,none,0.9043098802335255
68.06393505876494,0.09358955728534335,liblinear,ada,0.8743605430393425
32.2316593363366,0.06521172649335567,newton-cg,ada,0.7950924614862158
72.51072309248043,0.0144420977331066,lbfgs,ada,0.8360968155355843
10.608586111795326,0.00813090098762674,newton-cg,none,0.9039608079185495
93.47798829753708,0.0006129796131966009,liblinear,none,0.9046188860069727
0.953168993343809,0.08801685626500391,liblinear,none,0.9044493732173252
20.160906272741077,1e-05,liblinear,ada,0.8869606603108631
100.0,0.044158685725476945,liblinear,none,0.9045890853709743
100.0,0.1,lbfgs,none,0.8722073959969611
12.508553571711852,1e-05,lbfgs,none,0.9046195783549805
7.496159746819083,0.056757899730662496,newton-cholesky,none,0.9043103802729661
69.91517326438365,0.06654992577339888,newton-cg,none,0.8766984406718609
3.154526780158579,0.019827023678918726,newton-cg,none,0.8887428298284621
98.49351813945135,1e-05,sag,none,0.9046185360820936
33.97613816457028,1e-05,lbfgs,none,0.9046226577657537
35.84610335142041,1e-05,newton-cholesky,none,0.9046189717711294
12.741480149569492,1e-05,saga,none,0.9046207074642617
23.844414619130657,0.03005107566748732,saga,ada,0.8859200770821536
90.88048166377607,0.1,saga,ada,0.8838044508349489
0.001,0.030073343137610047,saga,none,0.8961537737324009
80.4836452479668,1e-05,newton-cholesky,none,0.9046185574979854
88.54471040917299,1e-05,saga,ada,0.8869668044241167
98.39261612040436,0.04204173604894134,liblinear,ada,0.8852227042019596
100.0,1e-05,lbfgs,none,0.9046171572548597
67.0561048811803,1e-05,liblinear,none,0.9046185218041191
89.57182334907972,1e-05,liblinear,none,0.9046185646637253
32.32306071767738,1e-05,newton-cg,none,0.9046192574033887
0.001,0.06712973066319955,liblinear,none,0.8960656331654512
100.0,0.1,liblinear,none,0.9044545813496984
0.001,0.025752170796517548,liblinear,none,0.8960656331654512
100.0,0.1,saga,none,0.9038401260555626
100.0,1e-05,liblinear,none,0.904618564672286
5.289930722984281,0.06548759873119481,saga,ada,0.8850004624111971
63.99084038301082,0.06170187310118028,saga,none,0.904526061898001
8.258791768949353,0.06915369965660927,liblinear,none,0.9044538240477505
100.0,0.02528651896454708,newton-cholesky,ada,0.8863074965930794
57.594480438817044,0.030229498004170307,newton-cg,none,0.8887434084898618
86.09709470833307,0.08630089794995444,saga,none,0.9039890278932864
57.47385038082013,0.013662451810283019,lbfgs,ada,0.8360968378308579
69.84773116287103,0.04176734984428081,saga,none,0.9045324562669022
21.701248390309274,0.04982516419833863,sag,ada,0.8860864092749109
91.65369903338055,0.016315627435197464,saga,none,0.9046123244829108
53.39016411183325,0.0007374340166495701,newton-cg,ada,0.8869017619727435
100.0,1e-05,newton-cg,none,0.9046189145714827
21.080206898244757,0.05065880385132651,newton-cholesky,ada,0.884948512334968
46.580021655167776,0.011665003898637333,liblinear,none,0.9045890496642666
18.134528854756105,0.0908408179647901,liblinear,ada,0.8743406321710935
87.57706335942129,0.03630328980454606,sag,ada,0.8865343274753877
89.11955280875772,0.07064247073192644,liblinear,none,0.9044545313414738
93.4874833407479,0.09167143801091393,newton-cholesky,none,0.9043099302438903
20.03380627695541,0.016435699743674512,newton-cg,ada,0.8464728306021089
100.0,1e-05,saga,none,0.9046185432242911
70.6933514934616,0.013050801915437501,newton-cholesky,none,0.9045820253419915
57.37132322260594,0.08168629092427221,saga,none,0.9044603610230424
0.668327885425539,0.02508125723038816,newton-cholesky,none,0.9045857517649605
90.06996166372588,0.08947183631707832,liblinear,none,0.9044545313414738
83.41351563524405,0.044725878185286234,sag,none,0.9044156832663406
83.59049399541188,0.0735371992095172,sag,ada,0.8861606677480891
21.532889709840923,0.024768868345230288,newton-cholesky,ada,0.8864337253982296
20.21737627735544,0.054522040410433806,saga,ada,0.8849872859134106
13.877182195568334,0.00703481695472929,saga,ada,0.8868296483813646
27.983116644114954,0.020117721433407804,newton-cholesky,none,0.9045820824110861
86.1841866573752,0.024251553010874737,saga,ada,0.886107784597383
24.92632292761637,0.054129216422556914,newton-cg,none,0.8807637832162429
24.024273036187722,0.037913192955762565,sag,none,0.9045715721338722
50.92347937732947,0.014213469311232855,sag,ada,0.8869040806311689
85.1751295696793,0.09789556827718626,liblinear,ada,0.8743619699379761
24.7618336736061,0.08700577739451493,liblinear,none,0.9044543455972516
60.05372320803758,0.051593095535079354,lbfgs,none,0.8722073888526234
12.409196940398324,0.06507693928543476,newton-cholesky,none,0.9043104231668156
82.29240831988305,0.016776654617057952,liblinear,none,0.9045893497050526
31.835503841475518,0.07650226396648085,newton-cg,none,0.876698433527523
6.430788642854505,0.04876557997826921,newton-cholesky,none,0.9043103445491368
64.99904871616457,0.0441608241777266,newton-cholesky,none,0.9043098802463666
45.917353758338685,0.08666879298242049,newton-cholesky,none,0.9043101088330737
63.53321218810329,0.002710736682278122,sag,ada,0.8870148777168554
54.34329425147949,0.009975421202902261,saga,ada,0.8866669749272577
75.45253988580306,0.031496295321909965,liblinear,ada,0.8853597675105161
57.27485456249457,0.04841239872829572,lbfgs,none,0.8722073888526234
32.91719464376894,0.09066311593822246,newton-cholesky,ada,0.8849227495589006
