criterion,splitter,max_depth,min_samples_split,max_features,oversampling_method,roc_auc
gini,best,149,0.0536881438551843,sqrt,none,0.8994982092089824
entropy,best,140,0.05364782637583153,sqrt,none,0.87541509277898
gini,best,147,0.05272818475359487,sqrt,none,0.9046100450607862
gini,best,151,0.05459796863836175,sqrt,none,0.8885178055348365
gini,best,151,0.05457118429506938,sqrt,none,0.893745173912104
gini,best,57,0.05313765338935576,sqrt,none,0.9009498148467006
gini,best,152,0.05499718781101866,sqrt,none,0.8997357823935257
gini,best,154,0.05492104599634409,sqrt,none,0.8872735341259945
gini,best,153,0.05486446259380622,sqrt,none,0.8846040909852543
gini,best,153,0.054782352239299795,sqrt,none,0.8926234890211266
gini,best,73,0.07330289238797305,sqrt,none,0.8770034774227712
gini,best,152,0.05344935058847296,sqrt,none,0.8816875232853622
gini,best,152,0.05472464529012895,sqrt,none,0.8817351161156259
gini,best,152,0.054620817394047165,sqrt,none,0.8798292869631564
gini,best,151,0.05453333219201549,sqrt,none,0.890137883911224
gini,best,151,0.054522614742207084,sqrt,none,0.8949299673823452
gini,best,152,0.05456719354680794,sqrt,none,0.8915551743370941
gini,best,152,0.05457873532199035,sqrt,none,0.8999872730202859
entropy,best,75,0.07056380370930614,,none,0.9168593223765008
gini,best,148,0.053220308746612446,sqrt,none,0.8906771796816123
gini,best,153,0.054605663142191,sqrt,none,0.8978015203928504
gini,best,154,0.05466146369632652,sqrt,none,0.8738486335757848
gini,best,152,0.05461900792631914,sqrt,none,0.893321402483599
gini,best,154,0.05443535010538041,sqrt,none,0.8970897468756984
gini,best,154,0.05432522739450484,sqrt,none,0.8770889472339057
gini,best,152,0.05463543446847769,sqrt,none,0.8892800114722778
gini,best,152,0.0546112460910807,sqrt,none,0.8823747165319862
gini,best,152,0.05455304674201035,sqrt,none,0.8927178458902754
gini,best,151,0.05363653740047073,sqrt,none,0.8896270093674579
gini,best,152,0.054654963007829634,sqrt,none,0.9045585086675775
gini,best,153,0.0546782543039245,sqrt,none,0.8936493125664278
gini,best,153,0.054691921324578896,sqrt,none,0.9005387556696108
gini,best,154,0.05475260022331348,sqrt,none,0.8948781622938915
gini,best,154,0.054759333995074676,sqrt,none,0.8956479126091299
gini,best,155,0.05476390601032817,sqrt,none,0.8871875434902781
gini,best,81,0.06798195119506617,sqrt,none,0.8834448040759929
gini,best,155,0.0547477618550577,sqrt,none,0.8722020670619489
gini,best,153,0.054759890488752475,sqrt,none,0.8942894523644833
gini,best,154,0.05476423573364528,sqrt,none,0.8818610811866301
gini,best,153,0.05472109975896325,sqrt,none,0.8949515897622512
entropy,best,81,0.06757098810711823,sqrt,none,0.897049877172984
gini,best,154,0.05465964879938702,sqrt,none,0.9040603685920677
gini,best,155,0.05474950233619545,sqrt,none,0.8736636380459656
