criterion,splitter,max_depth,min_samples_split,max_features,oversampling_method,roc_auc
gini,random,46,1e-08,,ada,0.8886877454384932
gini,best,123,1e-08,,ada,0.8927777760614655
gini,random,147,1e-08,,ada,0.8880928281847439
gini,best,71,1e-08,,ada,0.8926576289543324
entropy,best,76,1e-08,,ada,0.8976927704955441
entropy,best,146,0.2502876446691052,,none,0.880906001240921
entropy,best,38,0.39017297771213816,log2,none,0.8118492488872334
entropy,best,29,0.47302854213385653,,none,0.8747967670150937
entropy,best,50,0.3818986887005229,,none,0.8779316202848624
entropy,best,146,1e-08,,ada,0.8975611251638514
entropy,random,76,1e-08,,ada,0.8926396802117856
gini,random,53,1e-08,log2,ada,0.8519071632972312
entropy,best,145,1e-08,,ada,0.8982045734660699
gini,best,90,0.03698953213011143,,none,0.9215111345642656
gini,best,89,1e-08,,none,0.8277648086870372
gini,random,1,0.6080047568179315,sqrt,none,0.6351569200340448
gini,best,86,1e-08,,ada,0.8928753992954465
entropy,best,102,0.05823206061317032,,ada,0.8719113027270685
entropy,best,195,0.37967519928730464,,none,0.8779316202848624
gini,best,85,1e-08,,ada,0.8922848007890258
entropy,random,1,0.9552860390127008,log2,ada,0.5982277743693908
entropy,random,200,0.06302574306202577,log2,none,0.8228077291053331
gini,best,125,0.07424903328290454,,none,0.9175024898812474
gini,best,96,1e-08,,ada,0.8929699259781501
entropy,random,200,0.41077595940953304,,ada,0.7014505620665776
entropy,best,118,0.06297737422593379,,none,0.9175722530635722
entropy,best,143,0.5940929110213157,,none,0.8747967670150937
gini,random,200,0.6020520755235825,log2,none,0.7307524742213404
gini,best,98,1e-08,sqrt,ada,0.8732376025259846
gini,best,119,0.5324917135705985,,none,0.876078108837021
gini,best,101,0.13943114589866235,,none,0.889081617313899
gini,best,100,1e-08,sqrt,ada,0.8745783027702915
gini,best,101,1e-08,sqrt,ada,0.8697744563795556
gini,best,162,0.18720407654808338,,none,0.886541106227121
gini,best,103,1e-08,sqrt,ada,0.8696484669144772
entropy,best,52,0.08290256838866904,,none,0.9041522613274648
gini,best,87,1e-08,sqrt,ada,0.8699428284732965
gini,best,137,0.27778103422333306,,none,0.8809811716661894
gini,best,88,1e-08,sqrt,ada,0.8756409791956462
gini,best,200,0.05906879592179952,,none,0.9179867602013192
entropy,best,162,0.06310433766415602,sqrt,none,0.8905762890718575
entropy,best,162,0.06554052899350549,sqrt,none,0.8601420375868426
entropy,best,163,0.07122475813410692,,none,0.9168593223765008
entropy,best,81,0.11861640827800084,,none,0.8949911281446473
gini,best,60,0.09512233148383181,,none,0.8970685542688437
entropy,random,37,0.055002930306882775,,ada,0.8514508547854834
entropy,best,94,0.6470334748524158,,none,0.8747967670150937
gini,best,161,0.09402504550087633,,none,0.8974321456937727
entropy,best,138,0.08607634351378973,,none,0.9025081300553682
entropy,best,74,0.0746245992425754,sqrt,none,0.8659610849466509
entropy,best,136,0.09675223663895997,,none,0.8971894305230119
entropy,best,200,0.2633066613624985,,none,0.880906001240921
entropy,best,77,0.12671579688827614,sqrt,none,0.860795164714509
entropy,best,77,0.12523436848064196,sqrt,none,0.8383399680170248
entropy,best,148,0.11538137287901559,sqrt,none,0.8524932121505729
gini,best,56,0.04842291946216648,,ada,0.8784643418555945
entropy,best,150,0.11718772459632687,sqrt,none,0.8708957169762681
